id,Questions,category,category_name,,,,,
0,크레스티드 게코 정의,크레스티드 게코의 정의,define,,,,,
,크레 정의,크레스티드 게코의 정의,define,,,,,
,게코 정의,크레스티드 게코의 정의,define,,,,,
,크레 뜻,크레스티드 게코의 정의,define,,,,,
1,크레스티드 게코 유래,크레스티드 게코의 유래,origin,,,,,
,크레 유래,크레스티드 게코의 유래,origin,,,,,
,게코 유래,크레스티드 게코의 유래,origin,,,,,
2,크레 사육현황,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레 미래 전망,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레스티드 게코 미래 전망,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레스티드 게코 사육현황,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
3,크레스티드 게코 신체구조,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레 신체구조,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레 신체구조 특성,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
4,크레 머리,머리 구조,head,,,,,
,크레 머리 구조,머리 구조,head,,,,,
,크레스티드 게코 머리 구조,머리 구조,head,,,,,
5,크레 돌기,"돌기(crest), 볏 구조",comb,,,,,
,크레 볏,"돌기(crest), 볏 구조",comb,,,,,
,크레 등,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 돌기,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 등,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 볏,"돌기(crest), 볏 구조",comb,,,,,
7,크레 눈,눈 구조,eyes,,,,,
,크레 눈 구조,눈 구조,eyes,,,,,
8,크레 귀,귀,ear,,,,,
,크레 귀 구조,귀,ear,,,,,
9,크레 입,입과 혀,lips,,,,,
,크레 입 구조,입과 혀,lips,,,,,
,크레 혀,입과 혀,lips,,,,,
,크레 혀 구조,입과 혀,lips,,,,,
10,크레 다리,다리,leg,,,,,
,크리 다리 구조,다리,leg,,,,,
11,크레 발,발과 발가락,foot,,,,,
,크레 발가락,발과 발가락,foot,,,,,
,크레 발 구조,발과 발가락,foot,,,,,
,크레 발가락 구조,발과 발가락,foot,,,,,
12,크레 꼬리,꼬리,tail,,,,,
,크레 꼬리 구조,꼬리,tail,,,,,
,크레스티드 게코 꼬리,꼬리,tail,,,,,
13,크레스티드 게코 배설기관에 대해서 설명해주세요.,총배설강,cloaca,,,,,
,크레스티드 게코 배설기관이 어떻게 생겼는지 알려줘,총배설강,cloaca,,,,,
,크레스티드 게코 배설기관이 어떻게 생겼니?,총배설강,cloaca,,,,,
,크레스티드 게코 배설기관의 구조에 대해서 설명해줘,총배설강,cloaca,,,,,
,크레스티드 게코 배설기관은 어떻게 생겼을까요?,총배설강,cloaca,,,,,
,크레스티드 게코 배설기관이 궁금해,총배설강,cloaca,,,,,
,크레의 배설기관에 대해서 설명해주세요.,총배설강,cloaca,,,,,
,크레의 배설기관이 어떻게 생겼는지 알려줘,총배설강,cloaca,,,,,
,크레의 배설기관이 어떻게 생겼니?,총배설강,cloaca,,,,,
,크레의 배설기관의 구조에 대해서 설명해줘,총배설강,cloaca,,,,,
,크레의 배설기관은 어떻게 생겼을까요?,총배설강,cloaca,,,,,
,크레의 배설기관이 궁금해,총배설강,cloaca,,,,,
,크레 배설기관,총배설강,cloaca,,,,,
14,크레스티드 게코 피부에 대해서 설명해주세요.,피부,skin,,,,,
,크레스티드 게코 피부가 어떻게 생겼는지 알려줘,피부,skin,,,,,
,크레스티드 게코 피부가 어떻게 생겼니?,피부,skin,,,,,
,크레스티드 게코 피부의 구조에 대해서 설명해줘,피부,skin,,,,,
,크레스티드 게코 피부는 어떻게 생겼을까요?,피부,skin,,,,,
,크레스티드 게코 피부가 궁금해,피부,skin,,,,,
,크레의 피부에 대해서 설명해주세요.,피부,skin,,,,,
,크레의 피부가 어떻게 생겼는지 알려줘,피부,skin,,,,,
,크레의 피부가 어떻게 생겼니?,피부,skin,,,,,
,크레의 피부의 구조에 대해서 설명해줘,피부,skin,,,,,
,크레의 피부는 어떻게 생겼을까요?,피부,skin,,,,,
,크레의 피부가 궁금해,피부,skin,,,,,
,크레 피부,피부,skin,,,,,
,크레 피부 구조,피부,skin,,,,,
,크레 스킨,피부,skin,,,,,
,크레 스킨 구조,피부,skin,,,,,
15,크레스티드 게코 내부장기에 대해서 설명해주세요.,내부장기,in_organ,,,,,
,크레스티드 게코 내부장기가 어떻게 생겼는지 알려줘,내부장기,in_organ,,,,,
,크레스티드 게코 내부장기는 어떻게 생겼니?,내부장기,in_organ,,,,,
,크레스티드 게코 내부장기의 구조에 대해서 설명해줘,내부장기,in_organ,,,,,
,크레스티드 게코 내부장기는 어떻게 생겼을까요?,내부장기,in_organ,,,,,
,크레스티드 게코 내부장기가 궁금해,내부장기,in_organ,,,,,
,크레의 내부장기에 대해서 설명해주세요.,내부장기,in_organ,,,,,
,크레의 내부장기가 어떻게 생겼는지 알려줘,내부장기,in_organ,,,,,
,크레의 내부장기는 어떻게 생겼니?,내부장기,in_organ,,,,,
,크레의 내부장기의 구조에 대해서 설명해줘,내부장기,in_organ,,,,,
,크레의 내부장기는 어떻게 생겼을까요?,내부장기,in_organ,,,,,
,크레의 내부장기가 궁금해,내부장기,in_organ,,,,,
,크레 내부장기 ,내부장기,in_organ,,,,,
,크레 장기 ,내부장기,in_organ,,,,,
16,크레스티드 게코 감각에 대해서 설명해주세요.,감각,sense,,,,,
,크레스티드 게코 감각이 어떻게 생겼는지 알려줘,감각,sense,,,,,
,크레스티드 게코 감각은 어떻게 생겼니?,감각,sense,,,,,
,크레스티드 게코 감각의 구조에 대해서 설명해줘,감각,sense,,,,,
,크레스티드 게코 감각은 어떻게 생겼을까요?,감각,sense,,,,,
,크레스티드 게코 감각이 궁금해,감각,sense,,,,,
17,크레스티드 게코 점프력에 대해서 설명해주세요.,점프력,jump_ability,,,,,
,크레스티드 게코 점프력은 어떤지 알려줘,점프력,jump_ability,,,,,
,크레스티드 게코 점프력은 어느정도 인가요?,점프력,jump_ability,,,,,
,크레스티드 게코 점프 실력이 어때?,점프력,jump_ability,,,,,
,크레스티드 게코 점프력은 어디서 오는 걸까?,점프력,jump_ability,,,,,
,크레스티드 게코 점프력이 궁금해,점프력,jump_ability,,,,,
18,크레 서식지,크레스티드 게코의 서식지,habitat,,,,,
,크레스티드 게코 서식지,크레스티드 게코의 서식지,habitat,,,,,
19,크레 크기와 수명,크레스티드 게코의 크기와 수명,size_life,,,,,
,크레 크기,크레스티드 게코의 크기와 수명,size_life,,,,,
,크레 수명,크레스티드 게코의 크기와 수명,size_life,,,,,
22,크레 성별,크레스티드 게코의 성별,sex,,,,,
,크레스티드 게코 성별,크레스티드 게코의 성별,sex,,,,,
23,크레 번식,크레스티드 게코의 번식,breeding,,,,,
,크레스티드 게코 번식,크레스티드 게코의 번식,breeding,,,,,
24,크레스티드 게코 라이프 사이클에 대해서 설명해줘,크레스티드 게코의 라이프사이클,life_cycle,,,,,
,크레스티드 게코는 어떤 일생을 살아?,크레스티드 게코의 라이프사이클,life_cycle,,,,,
,크레스티드 게코 라이프는 어떻게 될까?,크레스티드 게코의 라이프사이클,life_cycle,,,,,
,크레스티드 게코 생명 주기에 대해서 알려줘,크레스티드 게코의 라이프사이클,life_cycle,,,,,
,크레스티드 게코 생명은 언제까지 이어지는 거야?,크레스티드 게코의 라이프사이클,life_cycle,,,,,
,크레스티드 게코 일생에 대해 설명해줘,크레스티드 게코의 라이프사이클,life_cycle,,,,,
25,크레 모프 패턴,색상 및 패턴의 특징,patten,,,,,
,크레 색상 패턴 특징,색상 및 패턴의 특징,patten,,,,,
,크레 색상,색상 및 패턴의 특징,patten,,,,,
26,색상의 변화에 대해서 알려줄래?,색채의 변화,color,,,,,
,색상 변화에 대해 알려줄래?,색채의 변화,color,,,,,
,크레스티드 게코 색상 변화가 어떻게 되는거야?,색채의 변화,color,,,,,
,크레스티드 게코 몸의 색상이 어떻게 바뀌어?,색채의 변화,color,,,,,
,크레스티드 게코 몸의 색상 변화에 대해서 알려줘,색채의 변화,color,,,,,
27,크레 탈피,탈피,ecdysis,,,,,
,크레 탈비 방법,탈피,ecdysis,,,,,
,크레스티드 게코 탈피,탈피,ecdysis,,,,,
,크레스티드 게코 탈피 방법,탈피,ecdysis,,,,,
28,크레 방어전략,방어전략 및 전술,defense,,,,,
,크레 방어,방어전략 및 전술,defense,,,,,
,크레 전략,방어전략 및 전술,defense,,,,,
29,크레 장점,크레스티드 게코의 장점,advantage,,,,,
,크레 사육 장점,크레스티드 게코의 장점,advantage,,,,,
30,크레스티드 게코 오해에 대해서 설명해줘,크레스티 게코의 오해와 진실,misunderstanding,,,,,
,크레스티드 게코에 대한 오해가 있니?,크레스티 게코의 오해와 진실,misunderstanding,,,,,
,크레스티드 게코를 사람들이 오해하고 있는게 뭘까?,크레스티 게코의 오해와 진실,misunderstanding,,,,,
,크레스티드 게코에 대해서 잘 모르는 부분이 뭐라고 생각해?,크레스티 게코의 오해와 진실,misunderstanding,,,,,
31,크레 핸들링,핸들링,handball,,,,,
,크레 핸들링 방법,핸들링,handball,,,,,
32,크레 사육장,사육장,farm,,,,,
,크레 사육장 추천,사육장,farm,,,,,
,크레 사육장 크기 ,사육장,farm,,,,,
,크레 사육환경,사육장,farm,,,,,
33,크레 다른 종과 합사,다른 종과의 합사,enshrining_together,,,,,
,크레 합사,다른 종과의 합사,enshrining_together,,,,,
,크레 여러마리 한번에 키우기,다른 종과의 합사,enshrining_together,,,,,
34,크레 온도,온도 관리,temperature,,,,,
,크레 온도 관리,온도 관리,temperature,,,,,
,크레 평균 온도,온도 관리,temperature,,,,,
,크레 겨울철 ,온도 관리,temperature,,,,,
,크레 여름철,온도 관리,temperature,,,,,
35,크레 습도,습도 관리,humidity,,,,,
,크레 습도 관리,습도 관리,humidity,,,,,
,크레 적정 습도,습도 관리,humidity,,,,,
36,크레 조명 ,조명 관리,lighting,,,,,
,크레 조명 관리,조명 관리,lighting,,,,,
37,크레 집 청소,청소 관리,cleaning,,,,,
,크레 사육장 청소,청소 관리,cleaning,,,,,
,크레 청소,청소 관리,cleaning,,,,,
,크레 청소 주기,청소 관리,cleaning,,,,,
38,크레 먹이,"먹이의 급여와
영양관리",food,,,,,
,크레 먹이 급여 ,"먹이의 급여와
영양관리",food,,,,,
,크레 영양,"먹이의 급여와
영양관리",food,,,,,
,크레 영양관리,"먹이의 급여와
영양관리",food,,,,,
,크레 밥,"먹이의 급여와
영양관리",food,,,,,
39,크레 귀뚜라미,귀뚜라미 먹이,cricket_food,,,,,
,귀뚜라미 급여,귀뚜라미 먹이,cricket_food,,,,,
40,귀뚜라미 관리,귀뚜라미 관리,cricket_manage,,,,,
,귀뚜라미 키우기,귀뚜라미 관리,cricket_manage,,,,,
42,크레 먹이 급여 횟수,먹이급여횟수,food_number,,,,,
,크레 먹이 횟수,먹이급여횟수,food_number,,,,,
,크레 먹이 양,먹이급여횟수,food_number,,,,,
,크레 수분 공급,수분 공급,feed_moisture,,,,,
,크레 수분,수분 공급,feed_moisture,,,,,
,크레 물,수분 공급,feed_moisture,,,,,
,크레 물 주기,수분 공급,feed_moisture,,,,,
,크레스티드 게코가 아파요.,질병의 징후,disease,,,,,
,크레스티드 게코가 아픈데 어떻게해야 하나요?,질병의 징후,disease,,,,,
,우리 도마뱀이 아픈거 같아요.,질병의 징후,disease,,,,,
,크레스티드 게코가 질병에 노출 된거 같아요.,질병의 징후,disease,,,,,
,우리 도마뱀이 질병에 노출 된거 같아요.,질병의 징후,disease,,,,,
,크레스티드 게코 질병 징후에 대해서 설명해주세요.,질병의 징후,disease,,,,,
,크레스티드 게코 질병 징후는 어떤게 있나요?,질병의 징후,disease,,,,,
,우리 도마뱀이 아픈데 관리법을 알려주세요.,아픈 크레스티드 게코의 관리,sick,,,,,
,질병에 노출되었을때 관리 방법 알려주세요.,아픈 크레스티드 게코의 관리,sick,,,,,
,크레스티드 게코 질병에 노출되었을때 방법이 있나요?,아픈 크레스티드 게코의 관리,sick,,,,,
,크레 모프 정의,모프의 정의,morph_define,,,,,
,크레 모프 뜻,모프의 정의,morph_define,,,,,
,크레 모프,모프의 정의,morph_define,,,,,
,모프와 혈통의 차이가 뭐에요?,모프와 혈통의 차이,morph_blood,,,,,
,모프와 혈통의 관계에 대해서 설명해주세요.,모프와 혈통의 차이,morph_blood,,,,,
,모프와 혈통 사이의 관계에 대해서 알려주세요.,모프와 혈통의 차이,morph_blood,,,,,
,브리딩하면서 같은 혈통으로 진행하면 모프가 같아지나요?,모프와 혈통의 차이,morph_blood,,,,,
,벅스킨이 뭔가요?,벅스킨,buckskin,,,,,
,벅스킨이 무슨 모프 인가요?,벅스킨,buckskin,,,,,
,벅스킨 특징이 뭐에요?,벅스킨,buckskin,,,,,
,브라운 모프가 뭔가요?,브라운,brown,,,,,
,브라운이 무슨 모프 인가요?,브라운,brown,,,,,
,브라운 특징이 뭐에요?,브라운,brown,,,,,
,레드 색 모프가 뭔가요?,레드,red,,,,,
,레드 색 모프는 무슨 모프 인가요?,레드,red,,,,,
,레드 색 도마뱀의 특징이 뭐에요?,레드,red,,,,,
,오렌지 색 모프가 뭔가요?,오렌지,orange,,,,,
,오렌지 색 모프는 무슨 모프 인가요?,오렌지,orange,,,,,
,오렌지 색 도마뱀의 특징이 뭐에요?,오렌지,orange,,,,,
,노랑색 모프가 뭔가요?,옐로우,yellow,,,,,
,노랑색 모프는 무슨 모프 인가요?,옐로우,yellow,,,,,
,노랑색 도마뱀의 특징이 뭐에요?,옐로우,yellow,,,,,
,옐로우 색 모프가 뭔가요?,옐로우,yellow,,,,,
,옐로우 색 모프는 무슨 모프 인가요?,옐로우,yellow,,,,,
,옐로우 색 도마뱀의 특징이 뭐에요?,옐로우,yellow,,,,,
,올리브 모프가 뭔가요?,올리브,olive,,,,,
,올리브 모프는 무슨 모프 인가요?,올리브,olive,,,,,
,올리브 도마뱀의 특징이 뭐에요?,올리브,olive,,,,,
,라벤더 모프가 뭔가요?,라벤더,lavender,,,,,
,라벤더 모프는 무슨 모프 인가요?,라벤더,lavender,,,,,
,라벤더 도마뱀의 특징이 뭐에요?,라벤더,lavender,,,,,
,패턴리스 모프가 뭔가요?,패턴리스,patternless,,,,,
,패턴리스 모프는 무슨 모프 인가요?,패턴리스,patternless,,,,,
,패턴리스 도마뱀의 특징이 뭐에요?,패턴리스,patternless,,,,,
,솔리드 모프가 뭔가요?,패턴리스,patternless,,,,,
,솔리드 모프는 무슨 모프 인가요?,패턴리스,patternless,,,,,
,솔리드 도마뱀의 특징이 뭐에요?,패턴리스,patternless,,,,,
,바이컬러 모프가 뭔가요?,바이컬러,bicolor,,,,,
,바이컬러 모프는 무슨 모프 인가요?,바이컬러,bicolor,,,,,
,바이컬러 도마뱀의 특징이 뭐에요?,바이컬러,bicolor,,,,,
,플레임 모프가 뭔가요?,플레임(Flame)/파이어(Fire),flame,,,,,
,플레임 모프는 무슨 모프 인가요?,플레임(Flame)/파이어(Fire),flame,,,,,
,플레임 도마뱀의 특징이 뭐에요?,플레임(Flame)/파이어(Fire),flame,,,,,
,파이어 모프가 뭔가요?,플레임(Flame)/파이어(Fire),flame,,,,,
,파이어 모프는 무슨 모프 인가요?,플레임(Flame)/파이어(Fire),flame,,,,,
,파이어 도마뱀의 특징이 뭐에요?,플레임(Flame)/파이어(Fire),flame,,,,,
,타이거 모프가 뭔가요?,타이거(Tiger)/ 브린들(Brindle),tiger,,,,,
,타이거 모프는 무슨 모프 인가요?,타이거(Tiger)/ 브린들(Brindle),tiger,,,,,
,타이거 도마뱀의 특징이 뭐에요?,타이거(Tiger)/ 브린들(Brindle),tiger,,,,,
,브린들 모프가 뭔가요?,타이거(Tiger)/ 브린들(Brindle),tiger,,,,,
,브랜들 모프는 무슨 모프 인가요?,타이거(Tiger)/ 브린들(Brindle),tiger,,,,,
,브린들 도마뱀의 특징이 뭐에요?,타이거(Tiger)/ 브린들(Brindle),tiger,,,,,
,할리퀸 모프가 뭔가요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,할리퀸 모프는 무슨 모프 인가요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,할리퀸 도마뱀의 특징이 뭐에요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,익스트림 할리퀸 모프가 뭔가요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,익스트림 할리퀸 모프는 무슨 모프 인가요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,익스트림 할리퀸 도마뱀의 특징이 뭐에요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,할리퀸이 뭔가요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,할리퀸이 무슨 모프 인가요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,할리퀸 특징이 뭐에요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,익스트림 할리퀸이 뭔가요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,익스트림 할리퀸은 무슨 모프 인가요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,익스트림 할리퀸 특징이 뭐에요?,할리퀸(Harlequin)/익스트림 할리 퀸(Extreme harlequin),harlequin,,,,,
,트익할이 뭔가요?,트익할(try Extreme harlequin),triharlequin,,,,,
,트익할이 무슨 모프 인가요?,트익할(try Extreme harlequin),triharlequin,,,,,
,트익할 특징이 뭐에요?,트익할(try Extreme harlequin),triharlequin,,,,,
,크림시클 모프가 뭔가요?,크림시클(Creamsicle),creamsicle,,,,,
,크림시클 모프는 무슨 모프 인가요?,크림시클(Creamsicle),creamsicle,,,,,
,크림시클 도마뱀의 특징이 뭐에요?,크림시클(Creamsicle),creamsicle,,,,,
,블론드 모프가 뭔가요?,블론드,blond,,,,,
,블론드 모프는 무슨 모프 인가요?,블론드,blond,,,,,
,블론드 도마뱀의 특징이 뭐에요?,블론드,blond,,,,,
,할로윈 모프가 뭔가요?,할로윈,halloween,,,,,
,할로윈 모프는 무슨 모프 인가요?,할로윈,halloween,,,,,
,할로윈 도마뱀의 특징이 뭐에요?,할로윈,halloween,,,,,
,모카앤크림 모프가 뭔가요?,모카앤크림,mocha,,,,,
,모카앤크림 모프는 무슨 모프 인가요?,모카앤크림,mocha,,,,,
,모카앤크림 도마뱀의 특징이 뭐에요?,모카앤크림,mocha,,,,,
,크림온크림 모프가 뭔가요?,크림온크림(Cream on cream),cream,,,,,
,크림온크림 모프는 무슨 모프 인가요?,크림온크림(Cream on cream),cream,,,,,
,크림온크림 도마뱀의 특징이 뭐에요?,크림온크림(Cream on cream),cream,,,,,
,달마티안 모프가 뭔가요?,달마티안(Dalmatian),dalmatian,,,,,
,달마티안 모프는 무슨 모프 인가요?,달마티안(Dalmatian),dalmatian,,,,,
,달마티안 도마뱀의 특징이 뭐에요?,달마티안(Dalmatian),dalmatian,,,,,
,핀스트라이프 모프가 뭔가요?,핀스트라이프(Pinstriped),pinstriped,,,,,
,핀스트라이프 모프는 무슨 모프 인가요?,핀스트라이프(Pinstriped),pinstriped,,,,,
,핀스트라이프 도마뱀의 특징이 뭐에요?,핀스트라이프(Pinstriped),pinstriped,,,,,
,대시 핀스트라이프 모프가 뭔가요?,대시 핀스트라이프(Dashed pinstriped),dashed_pinstriped,,,,,
,대시 핀스트라이프 모프는 무슨 모프 인가요?,대시 핀스트라이프(Dashed pinstriped),dashed_pinstriped,,,,,
,대시 핀스트라이프 도마뱀의 특징이 뭐에요?,대시 핀스트라이프(Dashed pinstriped),dashed_pinstriped,,,,,
,파셜 핀스트라이프 모프가 뭔가요?,파셜 핀스트라이프(Parial pinstiped),parial_pinstriped,,,,,
,파셜 핀스트라이프 모프는 무슨 모프 인가요?,파셜 핀스트라이프(Parial pinstiped),parial_pinstriped,,,,,
,파셜 핀스트라이프 도마뱀의 특징이 뭐에요?,파셜 핀스트라이프(Parial pinstiped),parial_pinstriped,,,,,
,풀 핀스트라이프 모프가 뭔가요?,풀 핀스트라이프(Full pinstriped),full_pinstriped,,,,,
,풀 핀스트라이프 모프는 무슨 모프 인가요?,풀 핀스트라이프(Full pinstriped),full_pinstriped,,,,,
,풀 핀스트라이프 도마뱀의 특징이 뭐에요?,풀 핀스트라이프(Full pinstriped),full_pinstriped,,,,,
,리버스 핀스트라이프 모프가 뭔가요?,리버스 핀스트라이프(Reverse pinstriped),reverse_pinstriped,,,,,
,리버스 핀스트라이프 모프는 무슨 모프 인가요?,리버스 핀스트라이프(Reverse pinstriped),reverse_pinstriped,,,,,
,리버스 핀스트라이프 도마뱀의 특징이 뭐에요?,리버스 핀스트라이프(Reverse pinstriped),reverse_pinstriped,,,,,
,팬텀 핀스트라이프 모프가 뭔가요?,팬텀 핀스트라이프(Pantom pinstripe),pantom_pinstriped,,,,,
,팬텀 핀스트라이프 모프는 무슨 모프 인가요?,팬텀 핀스트라이프(Pantom pinstripe),pantom_pinstriped,,,,,
,팬텀 핀스트라이프 도마뱀의 특징이 뭐에요?,팬텀 핀스트라이프(Pantom pinstripe),pantom_pinstriped,,,,,
,쿼드 핀스트라이프 모프가 뭔가요?,쿼드 핀스트라이프(Quad pinstripe),quad_pinstriped,,,,,
,쿼드 핀스트라이프 모프는 무슨 모프 인가요?,쿼드 핀스트라이프(Quad pinstripe),quad_pinstriped,,,,,
,쿼드 핀스트라이프 도마뱀의 특징이 뭐에요?,쿼드 핀스트라이프(Quad pinstripe),quad_pinstriped,,,,,
,스트라이프 모프가 뭔가요?,스트라이프(Striped),striped,,,,,
,스트라이프 모프는 무슨 모프 인가요?,스트라이프(Striped),striped,,,,,
,스트라이프 도마뱀의 특징이 뭐에요?,스트라이프(Striped),striped,,,,,
,화이트 프린지 모프가 뭔가요?,화이트 프린지(White-fringed),white_fringed,,,,,
,화이트 프린지 모프는 무슨 모프 인가요?,화이트 프린지(White-fringed),white_fringed,,,,,
,화이트 프린지 도마뱀의 특징이 뭐에요?,화이트 프린지(White-fringed),white_fringed,,,,,
,화이트 스포트 모프가 뭔가요?,화이트 스포트(White-spot),white_spot,,,,,
,화이트 스포트 모프는 무슨 모프 인가요?,화이트 스포트(White-spot),white_spot,,,,,
,화이트 스포트 도마뱀의 특징이 뭐에요?,화이트 스포트(White-spot),white_spot,,,,,
,쉐브론 모프가 뭔가요?,쉐브론(Chevron),chevron,,,,,
,쉐브론 모프는 무슨 모프 인가요?,쉐브론(Chevron),chevron,,,,,
,쉐브론 도마뱀의 특징이 뭐에요?,쉐브론(Chevron),chevron,,,,,
,크라운 모프가 뭔가요?,크라운(Crowned),crowned,,,,,
,크라운 모프는 무슨 모프 인가요?,크라운(Crowned),crowned,,,,,
,크라운 도마뱀의 특징이 뭐에요?,크라운(Crowned),crowned,,,,,
,가고일 게코가 뭔가요?,가고일 게코,gargoyle,,,,,
,가고일 게코는 어떤 종인가요?,가고일 게코,gargoyle,,,,,
,가고일 게코 특징이 뭐에요?,가고일 게코,gargoyle,,,,,
,안녕,인사,hello,,,,,
,카푸치노가 무엇,카푸치노,cappuccino,,,,,
,카푸치노 모프 설명해줘,카푸치노,cappuccino,,,,,
,카푸치노 뭐야?,카푸치노,cappuccino,,,,,
,카푸치노 설명,카푸치노,cappuccino,,,,,
,프라푸치노 무엇,프라푸치노,frappuccino,,,,,
,프라푸치노 모프 설명해줘,프라푸치노,frappuccino,,,,,
,프라푸치노 뭐야?,프라푸치노,frappuccino,,,,,
,프라푸치노 설명,프라푸치노,frappuccino,,,,,
,슈퍼 유전자 무엇,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,슈퍼 유전자 모프 설명해줘,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,슈퍼 유전자 뭐야?,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,슈퍼 유전자 설명,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,슈퍼유전자 무엇,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,슈퍼유전자 모프 설명해줘,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,슈퍼유전자 뭐야?,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,슈퍼유전자 설명,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,멜라니스틱 무엇,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,멜라니스틱 모프 설명해줘,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,멜라니스틱 뭐야?,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,멜라니스틱 설명,슈퍼 유전자(멜라니스틱),super_gene,,,,,
,아잔틱 무엇,아잔틱,axanthic,,,,,
,아잔틱 모프 설명해줘,아잔틱,axanthic,,,,,
,아잔틱 뭐야?,아잔틱,axanthic,,,,,
,아잔틱 설명,아잔틱,axanthic,,,,,
,릴리화이트 무엇,릴리화이트,lilly_white,,,,,
,릴리화이트 모프 설명해줘,릴리화이트,lilly_white,,,,,
,릴리화이트 뭐야?,릴리화이트,lilly_white,,,,,
,릴리화이트 설명,릴리화이트,lilly_white,,,,,
,릴리 화이트 무엇,릴리화이트,lilly_white,,,,,
,릴리 화이트 모프 설명해줘,릴리화이트,lilly_white,,,,,
,릴리 화이트 뭐야?,릴리화이트,lilly_white,,,,,
,릴리 화이트 설명,릴리화이트,lilly_white,,,,,
,세이블 무엇,세이블,sable,,,,,
,세이블 모프 설명해줘,세이블,sable,,,,,
,세이블 뭐야?,세이블,sable,,,,,
,세이블 설명,세이블,sable,,,,,
,우성과 열성 무엇,우성과 열성,dominant_recessive,,,,,
,우성과 열성 설명해줘,우성과 열성,dominant_recessive,,,,,
,우성과 열성 뭐야?,우성과 열성,dominant_recessive,,,,,
,우성과 열성 설명,우성과 열성,dominant_recessive,,,,,
,우성 열성 무엇,우성과 열성,dominant_recessive,,,,,
,우성 열성 설명해줘,우성과 열성,dominant_recessive,,,,,
,우성 열성 뭐야?,우성과 열성,dominant_recessive,,,,,
,우성 열성 설명,우성과 열성,dominant_recessive,,,,,
